Seasonality;access;EIR;prev_allInf_210_baseline_yearly;prev_210_cat;seed
seas4mo;0.2412;0.035;0.156287179;(0.1,0.2];4
seas4mo;0.2412;0.035;0.380860986;(0.3,0.4];5
seas4mo;0.2412;0.035;0;NA;6
seas4mo;0.2412;0.035;0.21577794;(0.2,0.3];7
seas4mo;0.2412;0.035;0;NA;8
seas4mo;0.2412;0.035;0.355621789;(0.3,0.4];9
seas4mo;0.2412;0.035;0;NA;10
seas3mo;0.04;0.05;0.183835122;(0.1,0.2];1
seas3mo;0.04;0.05;0.285043389;(0.2,0.3];2
seas3mo;0.04;0.05;0.24974865;(0.2,0.3];3
seas3mo;0.04;0.05;0.151790771;(0.1,0.2];4
seas3mo;0.04;0.05;0.159895606;(0.1,0.2];5
seas3mo;0.04;0.05;0.166495294;(0.1,0.2];6
seas3mo;0.04;0.05;0.204910374;(0.1,0.2];7
seas3mo;0.04;0.05;0.137288783;(0.1,0.2];8
seas3mo;0.04;0.05;0.215876612;(0.2,0.3];9
seas3mo;0.04;0.05;0.156812843;(0.1,0.2];10
seas4mo;0.04;0.05;0.262552098;(0.2,0.3];1
seas4mo;0.04;0.05;0.268166835;(0.2,0.3];2
seas4mo;0.04;0.05;0.125493689;(0.1,0.2];3
seas4mo;0.04;0.05;0.240375507;(0.2,0.3];4
seas4mo;0.04;0.05;0.213848698;(0.2,0.3];5
seas4mo;0.04;0.05;0.160126732;(0.1,0.2];6
seas4mo;0.04;0.05;0.343002112;(0.3,0.4];7
seas4mo;0.04;0.05;0.206323064;(0.2,0.3];8
seas4mo;0.04;0.05;0.207981616;(0.2,0.3];9
seas4mo;0.04;0.05;0.191827801;(0.1,0.2];10
seas5mo;0.04;0.05;0.065534096;(0,0.1];1
seas5mo;0.04;0.05;0.09861654;(0,0.1];2
seas5mo;0.04;0.05;0.050619068;(0,0.1];3
seas5mo;0.04;0.05;0.096330891;(0,0.1];4
seas5mo;0.04;0.05;0.069970644;(0,0.1];5
seas5mo;0.04;0.05;0.11542351;(0.1,0.2];6
seas5mo;0.04;0.05;0.150733369;(0.1,0.2];7
seas5mo;0.04;0.05;0.064426471;(0,0.1];8
seas5mo;0.04;0.05;0.137331637;(0.1,0.2];9
seas5mo;0.04;0.05;1.99E-05;NA;10
seas3mo;0.0972;0.05;0.174430061;(0.1,0.2];1
seas3mo;0.0972;0.05;0.116688663;(0.1,0.2];2
seas3mo;0.0972;0.05;0.301930419;(0.2,0.3];3
seas3mo;0.0972;0.05;0.157390589;(0.1,0.2];4
seas3mo;0.0972;0.05;0.192913494;(0.1,0.2];5
seas3mo;0.0972;0.05;0.177238727;(0.1,0.2];7
seas3mo;0.0972;0.05;0.208706224;(0.2,0.3];8
seas3mo;0.0972;0.05;0.291287056;(0.2,0.3];9
seas3mo;0.0972;0.05;0.185593161;(0.1,0.2];10
seas4mo;0.0972;0.05;0.202665583;(0.1,0.2];1
seas4mo;0.0972;0.05;0.024029729;(0,0.1];2
seas4mo;0.0972;0.05;0.248155969;(0.2,0.3];3
seas4mo;0.0972;0.05;0.26949383;(0.2,0.3];4
seas4mo;0.0972;0.05;0.23693465;(0.2,0.3];5
seas4mo;0.0972;0.05;0.219067759;(0.2,0.3];6
seas4mo;0.0972;0.05;0.292600166;(0.2,0.3];7
seas4mo;0.0972;0.05;0.148321075;(0.1,0.2];8
seas4mo;0.0972;0.05;0.247146997;(0.2,0.3];9
seas4mo;0.0972;0.05;0.225117757;(0.2,0.3];10
seas3mo;0.2412;0.05;0.217164143;(0.2,0.3];1
seas3mo;0.2412;0.05;0.239525621;(0.2,0.3];2
seas3mo;0.2412;0.05;0.276925359;(0.2,0.3];3
seas3mo;0.2412;0.05;0.278218279;(0.2,0.3];4
seas3mo;0.2412;0.05;0.204983469;(0.1,0.2];5
seas3mo;0.2412;0.05;0.257514737;(0.2,0.3];6
seas3mo;0.2412;0.05;0.274995745;(0.2,0.3];7
seas3mo;0.2412;0.05;0.26689757;(0.2,0.3];9
seas3mo;0.2412;0.05;0.259016858;(0.2,0.3];10
seas4mo;0.2412;0.05;0.163436517;(0.1,0.2];1
seas4mo;0.2412;0.05;0.247606335;(0.2,0.3];2
seas4mo;0.2412;0.05;0.21889363;(0.2,0.3];3
seas4mo;0.2412;0.05;0.217335711;(0.2,0.3];4
seas4mo;0.2412;0.05;0.290238741;(0.2,0.3];5
seas4mo;0.2412;0.05;0.292931853;(0.2,0.3];6
seas4mo;0.2412;0.05;0.283620475;(0.2,0.3];7
seas4mo;0.2412;0.05;0;NA;8
seas4mo;0.2412;0.05;0.277030008;(0.2,0.3];9
seas4mo;0.2412;0.05;0.276874604;(0.2,0.3];10
seas3mo;0.04;0.075;0.17384058;(0.1,0.2];1
seas3mo;0.04;0.075;0.248006862;(0.2,0.3];2
seas3mo;0.04;0.075;0.211859515;(0.2,0.3];3
seas3mo;0.04;0.075;0.261488844;(0.2,0.3];4
seas3mo;0.04;0.075;0.236920007;(0.2,0.3];5
seas3mo;0.04;0.075;0.266646136;(0.2,0.3];6
seas3mo;0.04;0.075;0.285123827;(0.2,0.3];7
seas3mo;0.04;0.075;0.274327384;(0.2,0.3];8
seas3mo;0.04;0.075;0.233052191;(0.2,0.3];9
seas3mo;0.04;0.075;0.147005686;(0.1,0.2];10
seas4mo;0.04;0.075;0.239363624;(0.2,0.3];1
